Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Fax,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
32,Enzo - Landing,40.9092811,-74.6686258,"150 Lakeside Blvd., Landing, NJ 07850",150 Lakeside Blvd.,Landing,NJ,7850,Morris,973-770-1360,973-770-1398,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
33,Enzo - Hazlet-Matawan,40.4224727,-74.2138618,"558 Lloyd Rd., Hazlet-Matawan, NH 07747",558 Lloyd Rd.,Hazlet-Matawan,NH,7747,Monmouth,732-970-6560,732-970-6559,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
34,Enzo - Little Silver,40.3353282,-74.0578156,"200 White Rd. Suite 104, Little Silver, NJ 07739",200 White Rd. Suite 104,Little Silver,NJ,7739,Monmouth,732-530-0800,732-530-0801,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
35,Enzo - Morristown,40.7875179,-74.4645057,"111 Madison Ave. Suite 310, Morristown, NJ 07960",111 Madison Ave. Suite 310,Morristown,NJ,7960,Morris,973-292-7534,973-377-7587,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
36,Enzo - Rockaway,40.8990987,-74.544406,"66 East Main Street, Rockaway, NJ 07866",66 East Main Street,Rockaway,NJ,7866,Morris,973-625-5500,973-625-5501,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
37,Enzo - Oak Ridge,41.0313437,-74.5103163,"5678 Berkshire Valley Rd, Oak Ridge, NJ 07438",5678 Berkshire Valley Rd,Oak Ridge,NJ,7438,Passaic,973-545-2313,973-409-4656,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
38,Empire City Labs - 49th Street,40.6493109,-74.017523,"229 49th St, Brooklyn, NY 11220",229 49th St,Brooklyn,NY,11220,Kings,718-788-3840,718-788-3871,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
39,Empire City Labs - 58th Street,40.6362301,-74.0095446,"833 58th St, Brooklyn, NY 11220",833 58th St,Brooklyn,NY,11220,Kings,718-853-3081,347-227-0304,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
40,Empire City Labs - 56th Street,40.6382768,-74.0098339,"763 56th Street b100, Brooklyn, NY 11220",763 56th Street b100,Brooklyn,NY,11220,Kings,718-362-6089,718-504-7815,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
41,Empire City Labs - Pearl Street,40.6920493,-73.9902567,"395 Pearl Street Suite 202, Brooklyn, NY 11202",395 Pearl Street Suite 202,Brooklyn,NY,11202,Kings,718-260-9060,718-260-9070,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
42,Empire City Labs - West 185th Street,40.8522206,-73.9349403,"629 West 185th St, New York, NY 10033",629 West 185th St,New York,NY,10033,New York,212-740-1849,646-478-9106,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
43,Empire City Labs - Grand Street,40.7186792,-73.9982994,"217 Grand Street Suite, New York, NY 10013",217 Grand Street Suite,New York,NY,10013,New York,212-343-3045,212-343-3044,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
44,Empire City Labs - Flushing,40.7544817,-73.8299606,"136-21 Franklin Ave 3C-2, Flushing, NY 11355",136-21 Franklin Ave 3C-2,Flushing,NY,11355,Queens,718-886-1662,718-886-1170,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
45,Empire City Labs - Webster,40.8297585,-73.912164,"1108 Brooke Ave, Bronx, NY 10456",1108 Brooke Ave,Bronx,NY,10456,Bronx,347-269-8109,718-293-2860,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
46,Empire City Labs - Haverstraw,41.1952563,-73.9712565,"90 New Main Street, Haverstraw, NY 10927",90 New Main Street,Haverstraw,NY,10927,Rockland,845-429-9009,845-429-9011,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
47,Empire City Labs - Medplex Building,26.3628635,-80.1306535,"5458 Town Center Rd Suite 4, Boca Raton, FL 33486",5458 Town Center Rd Suite 4,Boca Raton,FL,33486,Palm Beach,561-923-9952,561-465-3756,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
48,Empire City Labs ,40.9065156,-73.8510744,"5626 White Plains Road Suite 100, Bronx, NY 10470",5626 White Plains Road Suite 100,Bronx,NY,10470,Bronx,718-655-5550,718-655-5560,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
49,Enzo - Fifth Ave,40.7479604,-73.9867486,"347 Fifth Ave Suite 705, New York, NY 10016",347 Fifth Ave Suite 705,New York,NY,10016,New York,917-261-6059,917-261-6162,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
50,Enzo - Rego Park,40.7344663,-73.8681559,"94-19 60th Avenue Unit D1/D2, Elmhurst, NY 11373",94-19 60th Avenue Unit D1/D2,Elmhurst,NY,11373,Queens,718-271-1084,718-271-1204,8:00am-4:00pm,8:00am-6:00pm,8:00am-12:00pm,8:00am-6:00pm,8:00am-4:00pm,8:00am-12:00pm,
51,Enzo - Brooklyn,40.6363971,-74.0064838,"849 57th Street. Ground Floor, Brooklyn, NY 11220",849 57th Street. Ground Floor,Brooklyn,NY,11220,Kings,347-529-3824,347-529-3823,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm
52,Enzo - Victory Boulevard,40.6116852,-74.1403413,"2246 Victory Blvd, Staten Island, NY 10314",2246 Victory Blvd,Staten Island,NY,10314,Richmond,347-861-0874,347-861-7428,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,,
53,Enzo - East Meadow,40.7236355,-73.5472918,"30 Newbridge Rd. Suite. # LL2, East Meadow, NY 11554",30 Newbridge Rd. Suite. # LL2,East Meadow,NY,11554,Nassau,516-605-0384,516-605-0385,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,,
54,Enzo - Massapequa,40.6840951,-73.4683791,"596 Broadway, Massapequa, NY 11758",596 Broadway,Massapequa,NY,11758,Nassau,516-799-7077,516-799-2364,6:30am-4:00pm,6:30am-4:00pm,6:30am-4:00pm,6:30am-4:00pm,6:30am-4:00pm,7:00am-12:00pm,
55,Enzo - Rockville Centre,40.6559695,-73.6433927,"371 Merrick Road Suite 404, Rockville Centre, NY 11570",371 Merrick Road Suite 404,Rockville Centre,NY,11570,Nassau,516-992-2952,516-992-2957,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,,
56,Enzo - Bay Shore,40.7278469,-73.2376025,"16 Brentwood Rd., Bay Shore, NY 11706",16 Brentwood Rd.,Bay Shore,NY,11706,Suffolk,631-665-4271,631-665-4297,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,8:00am-12:00pm,
57,Enzo - Plainview,40.7733862,-73.4890271,"760 Old Country Rd, Plainview, NY 11803",760 Old Country Rd,Plainview,NY,11803,Nassau,516-931-7767,516-931-6244,6:30am-3:30pm,6:30am-3:30pm,6:30am-3:30pm,6:30am-3:30pm,6:30am-3:30pm,7:00am-12:00pm,
58,Enzo - Coram,40.8708804,-72.9969848,"248-260 Middle Country Rd., Coram, NY 11784",248-260 Middle Country Rd.,Coram,NY,11784,Suffolk,631-732-4030,631-732-4772,7:00am-3:00pm,7:00am-3:00pm,7:00am-3:00pm,7:00am-3:00pm,7:00am-3:00pm,7:30am-11:30am,
59,Enzo - Deer Park,40.8048208,-73.4415497,"16 Van Cott Road., Deer Park, NY 11729",16 Van Cott Road.,Deer Park,NY,11729,Suffolk,631-392-4586,631-392-4587,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-2:00pm,7:30am-12:00pm&12:30pm-4:00pm,8:00am-12:00pm,
60,Enzo - Holbrook,40.8123784,-73.0865255,"233 Union Ave. Suite 107, Holbrook, NY 11741",233 Union Ave. Suite 107,Holbrook,NY,11741,Suffolk,631-467-0300,631-467-0088,7:30am-4:00pm,7:30am-4:00pm,7:30am-4:00pm,7:30am-4:00pm,7:30am-4:00pm,7:00am-12:00pm,
61,Enzo - Port Jeffersion Station,40.9305234,-73.0451607,"12 Medical Dr. Suite C, Port Jefferson Station, NY 11776",12 Medical Dr. Suite C,Port Jefferson Station,NY,11776,Suffolk,631-473-0452,631-473-1380,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,7:30am-12:00pm&12:30pm-4:00pm,8:00am-12:00pm,
62,Enzo - Sparta,41.0236518,-74.6309778,"191 Woodport Road. Suite 13A, Sparta NJ 07871",191 Woodport Road. Suite 13A,Sparta,NJ,7871,Sussex,973-726-0977,973-726-0966,8:00am-12:00pm&12:30pm-4:00pm,8:00am-12:00pm&12:30pm-4:00pm,8:00am-12:00pm&12:30pm-4:00pm,8:00am-12:00pm&12:30pm-4:00pm,8:00am-12:00pm&12:30pm-4:00pm,,
63,Empire City Labs - 49th Street,40.6493109,-74.017523,"229 49th St, Brooklyn, NY 11220",229 49th St,Brooklyn,NY,11220,Kings,718-788-3840,718-788-3871,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,
64,Empire City Labs - 58th Street,40.6362301,-74.0095446,"833 58th St, Brooklyn, NY 11220",833 58th St,Brooklyn,NY,11220,Kings,718-853-3081,347-227-0304,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-3:00pm,
